9Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.21     0.00   141120     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00      0.21     0.00   141120     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00      0.21     0.00   141120     0.00     0.00  int& std::__pair_get<0ul>::__get<int, int>(std::pair<int, int>&)
  0.00      0.21     0.00   141120     0.00     0.00  int& std::__pair_get<1ul>::__get<int, int>(std::pair<int, int>&)
  0.00      0.21     0.00   141120     0.00     0.00  std::tuple_element<0ul, std::pair<int, int> >::type& std::get<0ul, int, int>(std::pair<int, int>&)
  0.00      0.21     0.00   141120     0.00     0.00  std::tuple_element<1ul, std::pair<int, int> >::type& std::get<1ul, int, int>(std::pair<int, int>&)
  0.00      0.21     0.00   110973     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.21     0.00   110973     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.21     0.00    98970     0.00     0.00  std::vector<int, std::allocator<int> >::_S_use_relocate()
  0.00      0.21     0.00    98896     0.00     0.00  std::vector<int, std::allocator<int> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.21     0.00    98636     0.00     0.00  int* std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00      0.21     0.00    98629     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long)
  0.00      0.21     0.00    98626     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.21     0.00    98626     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
